"Nachname";"Vorname";"Titel";"Titel Vorname Nachname";"Titel Nachname, Vorname";"Größe";"Geschlecht";"Geburtsdatum";"Trikot";"Staatsangehörigkeit";"NAT";"Position/Funktion Offizieller";"spielberechtigt";
"Buchegger";"Paul";"";"Paul Buchegger";"Buchegger, Paul";"204";"männlich";"04.03.1996";"17";"Österreich";"AT";"Diagonal";"Nein";
"Cléro";"Kristen";"";"Kristen Cléro";"Cléro, Kristen";"179";"männlich";"24.09.1990";"9";"Deutschland";"DE";"Zuspiel";"Nein";
"Mayaula Nzeza";"Magloire";"";"Magloire Mayaula Nzeza";"Mayaula Nzeza, Magloire";"202";"männlich";"06.06.1993";"7";"Kongo, Demokratische Republik";"CD";"Mittelblock";"Nein";
"Mc Ilvaine";"Graham";"";"Graham Mc Ilvaine";"Mc Ilvaine, Graham";"202";"männlich";"02.08.1992";"1";"Vereinigte Staaten von Amerika";"US";"Zuspiel";"Nein";
"Molnar";"David";"";"David Molnar";"Molnar, David";"193";"männlich";"22.11.1984";"11";"Ungarn";"HU";"Libero";"Nein";
"Mote";"Nehemiah Alesana";"";"Nehemiah Alesana Mote";"Mote, Nehemiah Alesana";"203";"männlich";"21.06.1993";"12";"Australien";"AU";"Mittelblock";"Nein";
"Nagy";"Péter";"";"Péter Nagy";"Nagy, Péter";"195";"männlich";"15.05.1984";"8";"Ungarn";"HU";"Diagonal";"Nein";
"Russell";"Peter James";"";"Peter James Russell";"Russell, Peter James";"198";"männlich";"22.02.1992";"14";"Vereinigte Staaten von Amerika";"US";"Außenangriff";"Nein";
"Sandmeier";"Jens";"";"Jens Sandmeier";"Sandmeier, Jens";"202";"männlich";"16.08.1995";"10";"Deutschland";"DE";"Außenangriff";"Nein";
"Schramm";"Robert";"";"Robert Schramm";"Schramm, Robert";"206";"männlich";"16.12.1989";"13";"Deutschland";"DE";"Mittelblock";"Nein";
"Sossenheimer";"David";"";"David Sossenheimer";"Sossenheimer, David";"193";"männlich";"21.06.1996";"5";"Deutschland";"DE";"Außenangriff";"Nein";
"Wolochin";"Ruben";"";"Ruben Wolochin";"Wolochin, Ruben";"173";"männlich";"30.06.1970";"";"Argentinien";"AR";"Trainer";"Nein";
"Garcia Domench";"Santiago";"";"Santiago Garcia Domench";"Garcia Domench, Santiago";"181";"männlich";"27.10.1984";"";"Argentinien";"AR";"Co-Trainer";"Nein";
"Mohr";"Oliver";"Dr.";"Dr. Oliver Mohr";"Dr. Mohr, Oliver";"175";"männlich";"10.11.1959";"";"Deutschland";"DE";"Arzt";"Ja";
"Koch";"Waldemar";"";"Waldemar Koch";"Koch, Waldemar";"";"männlich";"21.04.1984";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Martin";"Tobias";"";"Tobias Martin";"Martin, Tobias";"";"männlich";"12.01.1980";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Westhaus";"Tino";"";"Tino Westhaus";"Westhaus, Tino";"0";"männlich";"30.06.1983";"";"Deutschland";"DE";"Physiotherapeut";"Ja";
"Oser";"Jannis";"";"Jannis Oser";"Oser, Jannis";"180";"männlich";"08.10.1996";"";"Deutschland";"DE";"Statistiker";"Ja";
